Tick,Timestamp,AgentCount,ResourceCount,TotalEnergy,AvgFitness
1,1772762297,1,75,0.825484,0
1,1772762297,1,75,0.825484,0
1,1772762297,1,75,0.825484,0
2,1772762297,1,75,0.650969,0
2,1772762297,1,75,0.650969,0
2,1772762297,1,75,0.650969,0
3,1772762297,1,75,0.476453,0
3,1772762297,1,75,0.476453,0
3,1772762297,1,75,0.476453,0
4,1772762297,1,75,0.301937,0
4,1772762297,1,75,0.301937,0
5,1772762297,1,75,0.127421,0
5,1772762297,1,75,0.127421,0
6,1772762297,1,75,-0.047094,0
6,1772762297,1,75,-0.047094,0
7,1772762297,1,75,-0.070936,0
8,1772762297,1,75,-0.070936,0
9,1772762297,1,75,-0.070936,0
